x,y, comment
50,  40,  a
70,  10,  a
150, 2,   a
245, 5,   a
260, 20,  a
95,  60,  a
90,  90,  a
140, 75,  a
130, 90,  a
150, 150, a
202, 65,  a
180, 75,  a
70,  150, a
60,  200, a
50,  242, a
75,  230, a
20,  252, a
25,  325, a
115, 218, a
165, 205, a
175, 230, a
202, 298, a
205, 315, a
202, 322, a
240, 285, a
240, 305, a
262, 303, a
315, 290, a
300, 240, a
270, 175, a
250, 128, a
300, 157, a
320, 146, a
355, 115, a
385, 140, a
408, 275, a
406, 250, a
365, 175, a
350, 400, a
310, 400, a
347, 285, a
400, 400, a
350, 350, a
310, 350, a
310, 458, a
271, 460, a
310, 470, a
305, 500, a
293, 535, a
350, 462, a
388, 470, a
380, 530, a
250, 500, a
240, 530, a
225, 530, a
229, 491, a
200, 482, a
130, 466, a
80,  300, a
110, 355, a
183, 329, a
130, 405, a
194, 388, a
225, 377, a
260, 370, a
225, 410, a
220, 440, a
180, 435, a
70,  422, a
55,  475, a
60,  495, a
60,  510, a
30,  525, a
95,  495, a
128, 495, a
160, 515, a
190, 529, a
122, 563, b
80,  560, b
140, 570, b





